Column1;Column2;Column3
BG-0 ; /rsm:CrossIndustryInvoice ; Rechnung
BG-2 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext ; PROZESSSTEUERUNG
BT-X-1-00 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:TestIndicator ; Testkennzeichen
BT-X-1 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:TestIndicator/udt:Indicator ; Testkennzeichen, Wert
BT-23-00 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter ; Gruppierung der Geschäftsprozessinformationen
BT-23 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID ; Geschäftsprozesstyp
BT-24-00 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter ; Gruppierung der Anwendungsempfehlungsinformationen
BT-24 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID ; Spezifikationskennung
BT-1-00 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument ; Gruppierung der Eigenschaften, die das gesamte Dokument betreffen.
BT-1 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID ; Rechnungsnummer
BT-X-2 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:Name ; Dokumentenart (Freitext)
BT-3 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode ; Code für den Rechnungstyp
BT-2-00 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime ; Rechnungsdatum
BT-2 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString ; Rechnungsdatum
BT-2-0 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString/@format ; Datum, Format
BT-X-3-00 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:CopyIndicator ; Kopiekennzeichen
BT-X-3 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:CopyIndicator/udt:Indicator ; Kopiekennzeichen, Wert
BT-X-4 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:LanguageID ; Sprachkennzeichen
BG-1 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote ; FREITEXT ZUR RECHNUNG
BT-X-5 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:ContentCode ; Freitext auf Dokumentenebene, kodiert
BT-22 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:Content ; Freitext zur Rechnung
BT-21 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IncludedNote/ram:SubjectCode ; Code zur Qualifizierung des Freitextes zur Rechnung
BT-X-6-000 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:EffectiveSpecifiedPeriod ; Vertragliches Fälligkeitsdatum der Rechnung
BT-X-6-00 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:EffectiveSpecifiedPeriod/ram:CompleteDateTime ; Vertragliches Fälligkeitsdatum der Rechnung
BT-X-6 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:EffectiveSpecifiedPeriod/ram:CompleteDateTime/udt:DateTimeString ; Vertragliches Fälligkeitsdatum der Rechnung, Wert
BT-X-6-0 ; /rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:EffectiveSpecifiedPeriod/ram:CompleteDateTime/udt:DateTimeString/@format ; Datum, Format
BG-25-00 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction ; Gruppierung der Informationen zum Geschäftsvorfall
BG-25 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem ; RECHNUNGSPOSITION
BT-126-00 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument ; Gruppierung von allgemeinen Positionsangaben
BT-126 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:LineID ; Kennung der Rechnungsposition
BT-X-304 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:ParentLineID ; ID der übergeordneten Zeile
BT-X-7 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:LineStatusCode ; Typ der Rechnungsposition (Code)
BT-X-8 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:LineStatusReasonCode ; Untertyp der Rechnungsposition
BT-127-00 ; /rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:IncludedSupplyChainTradeLineItem/ram:AssociatedDocumentLineDocument/ram:IncludedNote ; Detailinformationen zum Freitext zur Position
